Date,Average
03/03/2015,रू १९.००
03/06/2015,रू १९.००
03/09/2015,रू १९.००
03/10/2015,रू १९.००
03/11/2015,रू १९.००
03/12/2015,रू १९.००
03/13/2015,रू १९.००
03/14/2015,रू १९.००
03/15/2015,रू १९.००
03/16/2015,रू १९.००
03/17/2015,रू १७.००
03/18/2015,रू १७.००
03/19/2015,रू १७.००
03/20/2015,रू १९.००
03/21/2015,रू १९.००
03/22/2015,रू १९.००
03/23/2015,रू १९.००
03/24/2015,रू १७.००
03/25/2015,रू १७.००
03/26/2015,रू १७.००
03/27/2015,रू १८.००
03/28/2015,रू १८.००
03/29/2015,रू १७.००
03/30/2015,रू १६.००
03/31/2015,रू १७.००
04/01/2015,रू १७.००
04/02/2015,रू १७.००
04/03/2015,रू १७.००
04/04/2015,रू १७.००
04/05/2015,रू १७.००
04/06/2015,रू १७.००
04/07/2015,रू १७.००
04/08/2015,रू १७.००
04/10/2015,रू १८.००
04/12/2015,रू १७.००
04/13/2015,रू १७.००
04/14/2015,रू १७.००
04/15/2015,रू १६.००
04/16/2015,रू १७.००
04/17/2015,रू १७.००
04/18/2015,रू १७.००
04/19/2015,रू १७.००
04/20/2015,रू १८.००
04/21/2015,रू १८.००
04/22/2015,रू १८.००
04/23/2015,रू १८.००
04/24/2015,रू १७.००
04/25/2015,रू १७.००
04/26/2015,रू १९.००
04/27/2015,रू १९.००
04/28/2015,रू १८.००
04/29/2015,रू १९.००
04/30/2015,रू १८.००
05/01/2015,रू २१.००
05/02/2015,रू २१.००
05/03/2015,रू १८.००
05/04/2015,रू १८.००
05/05/2015,रू १८.००
05/06/2015,रू १८.००
05/07/2015,रू १८.००
05/08/2015,रू १८.००
05/10/2015,रू १८.००
05/11/2015,रू १७.००
05/12/2015,रू १७.००
05/13/2015,रू १७.००
05/14/2015,रू १७.००
05/15/2015,रू १७.००
05/16/2015,रू १७.००
05/17/2015,रू १६.००
05/18/2015,रू १७.००
05/19/2015,रू १७.००
05/20/2015,रू १७.००
05/21/2015,रू १७.००
05/22/2015,रू १७.००
05/23/2015,रू १७.००
05/24/2015,रू १६.००
05/25/2015,रू १६.००
05/26/2015,रू १७.००
05/27/2015,रू १६.००
05/28/2015,रू १६.००
05/29/2015,रू १७.००
05/30/2015,रू १७.००
05/31/2015,रू १७.००
06/01/2015,रू १७.००
06/02/2015,रू १७.००
06/03/2015,रू १७.००
06/04/2015,रू १७.००
06/05/2015,रू १७.००
06/06/2015,रू २०.००
06/07/2015,रू २१.००
06/08/2015,रू २१.००
06/09/2015,रू २१.००
06/10/2015,रू २१.००
06/11/2015,रू २१.००
06/12/2015,रू २१.००
06/13/2015,रू २१.००
06/14/2015,रू २२.००
06/15/2015,रू २१.००
06/16/2015,रू २२.००
06/17/2015,रू २१.००
06/18/2015,रू २१.००
06/19/2015,रू २२.००
06/20/2015,रू २२.००
06/21/2015,रू २१.००
06/22/2015,रू २१.००
06/23/2015,रू २१.००
06/24/2015,रू २१.००
06/25/2015,रू २१.००
06/26/2015,रू २१.००
06/27/2015,रू २२.००
06/28/2015,रू २१.००
06/29/2015,रू २१.००
06/30/2015,रू २२.००
07/01/2015,रू २३.००
07/02/2015,रू २३.००
07/03/2015,रू २२.००
07/04/2015,रू २२.००
07/05/2015,रू २२.००
07/06/2015,रू २२.००
